,URL,Dinosaur,Height,Weight
225,https://en.wikipedia.org/wiki/Baotianmansaurus,Baotianmansaurus,-,-
226,https://en.wikipedia.org/wiki/Barapasaurus,Barapasaurus,14 meters,-
227,https://en.wikipedia.org/wiki/Barilium,Barilium,-,-
228,https://en.wikipedia.org/wiki/Barrosasaurus,Barrosasaurus,18 meters,5 tonnes
229,https://en.wikipedia.org/wiki/Barsboldia,Barsboldia,10 meters,5 tonnes
230,https://en.wikipedia.org/wiki/Baryonyx,Baryonyx,-,-
231,https://en.wikipedia.org/wiki/Bashunosaurus,Bashunosaurus,-,-
232,https://en.wikipedia.org/wiki/Basutodon,Basutodon,-,-
233,https://en.wikipedia.org/wiki/Bathygnathus,Bathygnathus,-,-
234,https://en.wikipedia.org/wiki/Pelycosaur,pelycosaur,-,-
235,https://en.wikipedia.org/wiki/Dimetrodon,Dimetrodon,-,-
236,https://en.wikipedia.org/wiki/Batyrosaurus,Batyrosaurus,-,-
237,https://en.wikipedia.org/wiki/Baurutitan,Baurutitan,-,-
238,https://en.wikipedia.org/wiki/Bayannurosaurus,Bayannurosaurus,3 meters,-
239,https://en.wikipedia.org/wiki/Bayosaurus,Bayosaurus,-,-
240,https://en.wikipedia.org/wiki/Becklespinax,Becklespinax,-,-
241,https://en.wikipedia.org/wiki/Beelemodon,Beelemodon,-,-
242,https://en.wikipedia.org/wiki/Beg_tse,Beg,-,-
243,https://en.wikipedia.org/wiki/Beibeilong,Beibeilong,-,-
244,https://en.wikipedia.org/wiki/Beipiaognathus,Beipiaognathus,-,-
245,https://en.wikipedia.org/wiki/Beipiaosaurus,Beipiaosaurus,-,-
246,https://en.wikipedia.org/wiki/Beishanlong,Beishanlong,-,-
247,https://en.wikipedia.org/wiki/Bellusaurus,Bellusaurus,-,-
248,https://en.wikipedia.org/wiki/Belodon,Belodon,-,-
249,https://en.wikipedia.org/wiki/Phytosaur,phytosaur,-,-
250,https://en.wikipedia.org/wiki/Berberosaurus,Berberosaurus,-,-
251,https://en.wikipedia.org/wiki/Betasuchus,Betasuchus,-,-
252,https://en.wikipedia.org/wiki/Bicentenaria,Bicentenaria,-,-
253,https://en.wikipedia.org/wiki/Bienosaurus,Bienosaurus,-,-
254,https://en.wikipedia.org/wiki/Bihariosaurus,Bihariosaurus,-,-
255,https://en.wikipedia.org/wiki/Bilbeyhallorum,Bilbeyhallorum,-,-
256,https://en.wikipedia.org/wiki/Cedarpelta,Cedarpelta,-,-
257,https://en.wikipedia.org/wiki/Bissektipelta,Bissektipelta,-,-
258,https://en.wikipedia.org/wiki/Bistahieversor,Bistahieversor,-,-
259,https://en.wikipedia.org/wiki/Blancocerosaurus,Blancocerosaurus,12 meters,15 tonnes
260,https://en.wikipedia.org/wiki/Blasisaurus,Blasisaurus,-,-
261,https://en.wikipedia.org/wiki/Blikanasaurus,Blikanasaurus,-,-
262,https://en.wikipedia.org/wiki/Bolong,Bolong,-,-
263,https://en.wikipedia.org/wiki/Bonapartenykus,Bonapartenykus,-,-
264,https://en.wikipedia.org/wiki/Bonapartesaurus,Bonapartesaurus,-,-
265,https://en.wikipedia.org/wiki/Bonatitan,Bonatitan,-,-
266,https://en.wikipedia.org/wiki/Bonitasaura,Bonitasaura,-,-
267,https://en.wikipedia.org/wiki/Borealopelta,Borealopelta,-,-
268,https://en.wikipedia.org/wiki/Borealosaurus,Borealosaurus,-,10 tonnes
269,https://en.wikipedia.org/wiki/Boreonykus,Boreonykus,-,-
270,https://en.wikipedia.org/wiki/Borogovia,Borogovia,-,-
271,https://en.wikipedia.org/wiki/Bothriospondylus,Bothriospondylus,-,-
272,https://en.wikipedia.org/wiki/Brachiosaurus,Brachiosaurus,21 meters,-
273,https://en.wikipedia.org/wiki/Brachyceratops,Brachyceratops,-,-
274,https://en.wikipedia.org/wiki/Brachylophosaurus,Brachylophosaurus,-,-
275,https://en.wikipedia.org/wiki/Brachypodosaurus,Brachypodosaurus,-,-
276,https://en.wikipedia.org/wiki/Brachyrophus,Brachyrophus,6 meters,-
277,https://en.wikipedia.org/wiki/Camptosaurus,Camptosaurus,6 meters,-
278,https://en.wikipedia.org/wiki/Brachytaenius,Brachytaenius,-,-
279,https://en.wikipedia.org/wiki/Dakosaurus,Dakosaurus,-,-
280,https://en.wikipedia.org/wiki/Brachytrachelopan,Brachytrachelopan,-,-
281,https://en.wikipedia.org/wiki/Bradycneme,Bradycneme,-,-
282,https://en.wikipedia.org/wiki/Brasileosaurus,Brasileosaurus,-,-
283,https://en.wikipedia.org/wiki/Brasilotitan,Brasilotitan,-,-
284,https://en.wikipedia.org/wiki/Bravasaurus,Bravasaurus,-,-
285,https://en.wikipedia.org/wiki/Bravoceratops,Bravoceratops,-,-
286,https://en.wikipedia.org/wiki/Breviceratops,Breviceratops,-,-
287,https://en.wikipedia.org/wiki/Brohisaurus,Brohisaurus,-,-
288,https://en.wikipedia.org/wiki/Brontomerus,Brontomerus,14 meters,200 kilograms
289,https://en.wikipedia.org/wiki/Brontoraptor,Brontoraptor,-,-
290,https://en.wikipedia.org/wiki/Torvosaurus,Torvosaurus,-,-
291,https://en.wikipedia.org/wiki/Brontosaurus,Brontosaurus,-,15 tonnes
292,https://en.wikipedia.org/wiki/Bruhathkayosaurus,Bruhathkayosaurus,-,-
293,https://en.wikipedia.org/wiki/Bugenasaura,Bugenasaura,0 meters,-
294,https://en.wikipedia.org/wiki/Thescelosaurus,Thescelosaurus,0 meters,-
295,https://en.wikipedia.org/wiki/Buitreraptor,Buitreraptor,-,-
296,https://en.wikipedia.org/wiki/Burianosaurus,Burianosaurus,-,-
297,https://en.wikipedia.org/wiki/Buriolestes,Buriolestes,-,-
298,https://en.wikipedia.org/wiki/Byranjaffia,Byranjaffia,-,-
299,https://en.wikipedia.org/wiki/Byronosaurus,Byronosaurus,-,-
300,https://en.wikipedia.org/wiki/Centrosaurus,Centrosaurus,-,-
301,https://en.wikipedia.org/wiki/Caenagnathasia,Caenagnathasia,-,-
302,https://en.wikipedia.org/wiki/Caenagnathus,Caenagnathus,-,-
303,https://en.wikipedia.org/wiki/Caihong,Caihong,-,-
304,https://en.wikipedia.org/wiki/Calamosaurus,Calamosaurus,-,-
305,https://en.wikipedia.org/wiki/Calamospondylus,Calamospondylus,-,-
306,https://en.wikipedia.org/wiki/Callovosaurus,Callovosaurus,-,-
307,https://en.wikipedia.org/wiki/Camarasaurus,Camarasaurus,-,-
308,https://en.wikipedia.org/wiki/Camarillasaurus,Camarillasaurus,-,-
309,https://en.wikipedia.org/wiki/Camelotia,Camelotia,-,-
310,https://en.wikipedia.org/wiki/Camposaurus,Camposaurus,-,-
311,https://en.wikipedia.org/wiki/Camptonotus_(dinosaur),Camptonotus,6 meters,-
312,https://en.wikipedia.org/wiki/Campylodon,Campylodon,-,-
313,https://en.wikipedia.org/wiki/Campylodoniscus,Campylodoniscus,-,-
314,https://en.wikipedia.org/wiki/Canardia,Canardia,-,-
315,https://en.wikipedia.org/wiki/Capitalsaurus,Capitalsaurus,-,-
316,https://en.wikipedia.org/wiki/Carcharodontosaurus,Carcharodontosaurus,-,-
317,https://en.wikipedia.org/wiki/Cardiodon,Cardiodon,-,-
318,https://en.wikipedia.org/wiki/Carnotaurus,Carnotaurus,-,-
319,https://en.wikipedia.org/wiki/Caseosaurus,Caseosaurus,-,50 kilograms
320,https://en.wikipedia.org/wiki/Cathartesaura,Cathartesaura,-,-
321,https://en.wikipedia.org/wiki/Cathetosaurus,Cathetosaurus,-,-
322,https://en.wikipedia.org/wiki/Caudipteryx,Caudipteryx,-,-
323,https://en.wikipedia.org/wiki/Caudocoelus,Caudocoelus,-,6 tonnes
324,https://en.wikipedia.org/wiki/Teinurosaurus,Teinurosaurus,-,6 tonnes
325,https://en.wikipedia.org/wiki/Caulodon,Caulodon,-,-
326,https://en.wikipedia.org/wiki/Cedarosaurus,Cedarosaurus,-,-
327,https://en.wikipedia.org/wiki/Cedrorestes,Cedrorestes,-,-
328,https://en.wikipedia.org/wiki/Centemodon,Centemodon,-,200 kilograms
329,https://en.wikipedia.org/wiki/Cerasinops,Cerasinops,-,-
330,https://en.wikipedia.org/wiki/Ceratonykus,Ceratonykus,-,-
331,https://en.wikipedia.org/wiki/Ceratops,Ceratops,-,-
332,https://en.wikipedia.org/wiki/Ceratosaurus,Ceratosaurus,-,-
333,https://en.wikipedia.org/wiki/Cetiosauriscus,Cetiosauriscus,-,-
334,https://en.wikipedia.org/wiki/Cetiosaurus,Cetiosaurus,-,11 tonnes
335,https://en.wikipedia.org/wiki/Changchunsaurus,Changchunsaurus,-,-
336,https://en.wikipedia.org/wiki/Changdusaurus,Changdusaurus,-,-
337,https://en.wikipedia.org/wiki/Changmiania,Changmiania,-,-
338,https://en.wikipedia.org/wiki/Changyuraptor,Changyuraptor,-,4 kilograms
339,https://en.wikipedia.org/wiki/Chaoyangsaurus,Chaoyangsaurus,-,-
340,https://en.wikipedia.org/wiki/Charonosaurus,Charonosaurus,-,-
341,https://en.wikipedia.org/wiki/Chasmosaurus,Chasmosaurus,-,2 tonnes
342,https://en.wikipedia.org/wiki/Chassternbergia,Chassternbergia,-,-
343,https://en.wikipedia.org/wiki/Edmontonia,Edmontonia,-,-
344,https://en.wikipedia.org/wiki/Chebsaurus,Chebsaurus,-,-
345,https://en.wikipedia.org/wiki/Chenanisaurus,Chenanisaurus,-,-
346,https://en.wikipedia.org/wiki/Cheneosaurus,Cheneosaurus,-,-
347,https://en.wikipedia.org/wiki/Hypacrosaurus,Hypacrosaurus,-,-
348,https://en.wikipedia.org/wiki/Chialingosaurus,Chialingosaurus,-,-
349,https://en.wikipedia.org/wiki/Chiayusaurus,Chiayusaurus,-,-
350,https://en.wikipedia.org/wiki/Chienkosaurus,Chienkosaurus,-,-
351,https://en.wikipedia.org/wiki/Szechuanosaurus,Szechuanosaurus,-,504 kilograms
352,https://en.wikipedia.org/wiki/Chihuahuasaurus,Chihuahuasaurus,-,-
353,https://en.wikipedia.org/wiki/Sonorasaurus,Sonorasaurus,-,-
354,https://en.wikipedia.org/wiki/Chilantaisaurus,Chilantaisaurus,-,000 kilograms
355,https://en.wikipedia.org/wiki/Chilesaurus,Chilesaurus,-,-
356,https://en.wikipedia.org/wiki/Chindesaurus,Chindesaurus,-,-
357,https://en.wikipedia.org/wiki/Chingkankousaurus,Chingkankousaurus,-,-
358,https://en.wikipedia.org/wiki/Chinshakiangosaurus,Chinshakiangosaurus,13 meters,-
